epoch,train_loss,train_ppl,val_loss,val_ppl,train_time,val_time,experiment,label
1,7.19461831981521,1332.2417382615167,6.466373793434624,643.147308364934,33.48,1.19,dgn1,DGN-1
2,6.444615988310728,629.3049700912212,6.016817786066304,410.2709462981402,32.87,1.14,dgn1,DGN-1
3,6.083319553272204,438.48234698554006,5.767564754790898,319.75809436009104,33.73,1.19,dgn1,DGN-1
4,5.8478152511747,346.4765886676842,5.623390704649163,276.8264303764615,33.36,1.09,dgn1,DGN-1
5,5.672780067082386,290.8419716984495,5.534475243419682,253.27484511730444,33.16,1.16,dgn1,DGN-1
6,5.529449341075206,252.0051039497596,5.454399693820137,233.78448666477212,33.45,1.15,dgn1,DGN-1
7,5.4128293466922335,224.26521492631204,5.3992622658570655,221.24313736708035,33.55,1.19,dgn1,DGN-1
8,5.319565870918386,204.29517226311177,5.367333102275649,214.2906138218677,33.48,1.23,dgn1,DGN-1
9,5.243626574694233,189.35557082454383,5.338928590127088,208.289427347798,33.54,1.16,dgn1,DGN-1
10,5.18254098018552,178.13487359322897,5.318546710758034,204.087068825968,33.87,1.2,dgn1,DGN-1
11,5.135598352308215,169.965988996507,5.307443261887414,201.8335326564381,33.96,1.22,dgn1,DGN-1
12,5.101369462700322,164.24668305986495,5.300780327653842,200.4931993372341,33.11,1.14,dgn1,DGN-1
13,5.07807570983507,160.4649774677029,5.2964669328076,199.6302554513104,33.8,1.22,dgn1,DGN-1
14,5.06433034430585,158.27441721284293,5.294325929169261,199.2033035639308,33.32,1.24,dgn1,DGN-1
15,5.05646659778676,157.03466823993872,5.293646174586359,199.0679402175438,34.07,1.21,dgn1,DGN-1
1,7.200617468355984,1340.258075899514,6.481886893202123,653.2023071755917,36.22,1.48,dgn2,DGN-2
2,6.467701730621993,644.0019349122665,6.051066334270874,424.565517511996,36.28,1.38,dgn2,DGN-2
3,6.102703861588742,447.06493905453806,5.769892607048512,320.5033110025381,36.04,1.36,dgn2,DGN-2
4,5.8522994597456375,348.0337506665077,5.614735120145059,274.44067576058285,35.8,1.36,dgn2,DGN-2
5,5.667189110527757,289.2204240954871,5.517127929477517,248.91909636640645,35.82,1.37,dgn2,DGN-2
6,5.523654821618832,250.54907803108816,5.445064887876304,231.61230805533623,35.48,1.41,dgn2,DGN-2
7,5.408872927133192,223.37968057141023,5.398454067374729,221.0644012360968,35.83,1.3,dgn2,DGN-2
8,5.318089106621712,203.99369910391815,5.368611742173754,214.5647895991792,35.14,1.35,dgn2,DGN-2
9,5.243255241657288,189.2852698987029,5.328670832630303,206.16376581195524,36.07,1.47,dgn2,DGN-2
10,5.184123815703115,178.4170550625867,5.312797202341441,202.9170352880056,36.09,1.35,dgn2,DGN-2
11,5.1385217594551245,170.46359578269667,5.2995247798546,200.2416285046937,35.85,1.4,dgn2,DGN-2
12,5.104024010175678,164.68326288228212,5.293020296393149,198.94338691645777,35.65,1.45,dgn2,DGN-2
13,5.080978458527812,160.9314436608093,5.282845828758256,196.9295063195885,35.77,1.41,dgn2,DGN-2
14,5.066291423962988,158.58511050025436,5.2841476922770445,197.18604861493336,35.85,1.36,dgn2,DGN-2
15,5.060013467290496,157.59263865492065,5.283433132815128,197.04519778727663,35.92,1.31,dgn2,DGN-2
1,7.20387344884371,1344.6290420719135,6.477893827934524,650.5992283207224,39.27,1.54,dgn3,DGN-3
2,6.432345126972091,621.6300413601474,6.007415934475472,406.4317159665442,39.57,1.54,dgn3,DGN-3
3,6.078183502704112,436.23605295598645,5.7722787938904006,321.26900496715126,38.73,1.45,dgn3,DGN-3
4,5.853055121503063,348.29684585514656,5.641709598785112,281.944318350822,40.36,1.44,dgn3,DGN-3
5,5.683376286054885,293.9401825886319,5.539997559321918,254.677377872302,39.33,1.54,dgn3,DGN-3
6,5.548919113913509,256.9596616237603,5.4870925776596495,241.55388576379232,39.85,1.62,dgn3,DGN-3
7,5.440004685735883,230.44326325438,5.424518616815472,226.90209316888837,39.42,1.58,dgn3,DGN-3
8,5.350671085757473,210.74968153075403,5.389559544695662,219.10685751976132,39.5,1.58,dgn3,DGN-3
9,5.278862162157726,196.14656534592083,5.363994051274833,213.57627979588392,39.35,1.71,dgn3,DGN-3
10,5.222051555980774,185.31397635141727,5.3500170584930125,210.61189055749483,39.66,1.69,dgn3,DGN-3
11,5.175721723884633,176.92425867214183,5.337236701048631,207.93732268551773,39.99,1.52,dgn3,DGN-3
12,5.142577570221558,171.15636779620098,5.328577717580397,206.14456975634755,39.44,1.56,dgn3,DGN-3
13,5.119678137205431,167.28151925808672,5.322124143223961,204.8184840460836,39.29,1.59,dgn3,DGN-3
14,5.106331778088712,165.0637525041785,5.3199446646551225,204.3725726532765,39.28,1.59,dgn3,DGN-3
15,5.099824283864863,163.99308853630825,5.318939086070742,204.16716326593107,39.63,1.44,dgn3,DGN-3
1,7.166818576649951,1295.7158180218296,6.424497138116797,616.7705891284047,34.71,1.27,dgn4,DGN-4
2,6.4022618490607694,603.2078611750131,5.98694456777265,398.1960881591796,34.85,1.26,dgn4,DGN-4
3,6.045672895759045,422.2818135434394,5.7351439560119415,309.55753021934595,35.02,1.25,dgn4,DGN-4
4,5.801098665474029,330.6626480518888,5.5860708557878525,266.6857118235398,35.03,1.29,dgn4,DGN-4
5,5.61745921293125,275.18929681933264,5.490964241654395,242.4909140048593,34.81,1.27,dgn4,DGN-4
