experiment,label,test_ppl_1,test_ppl_2,test_ppl_3,delta_1to2,delta_1to3
gelu54,gelu54,168.44899817053553,168.4204452592232,168.41917395861327,0.02855291131234594,0.0298242119222607
gelu203,gelu203,163.79874858748138,163.78568313164052,163.78566655009163,0.013065455840859386,0.013082037389750667
gelu78,gelu78,165.78116590562084,165.7682390318079,165.76824104567945,0.012926873812943995,0.012924859941392697
gelu99,gelu99,167.61672906781308,167.6042970659827,167.6042970659827,0.012432001830376294,0.012432001830376294
gelu97,gelu97,171.14726420800943,171.13684624801712,171.13684624801712,0.010417959992309989,0.010417959992309989
gelu98,gelu98,169.23264571251806,169.2263237548692,169.2263237548692,0.0063219576488506846,0.0063219576488506846
gelu53,gelu53,172.5302349804589,172.52424814948708,172.52423277919996,0.0059868309718353885,0.006002201258951345
gelu102,gelu102,169.40678798981338,169.40477451821428,169.40477451821428,0.002013471599099148,0.002013471599099148
gelu38,gelu38,168.01252092795588,168.01157656472554,168.01157588435052,0.0009443632303316463,0.0009450436053555222
gelu56,gelu56,170.52993953517043,170.52953071623833,170.52952657280815,0.00040881893210098497,0.0004129623622759482
gelu25,gelu25,169.5503448154249,169.5501237283056,169.5501287061956,0.00022108711928581215,0.0002161092292851663
gelu12,gelu12,169.62154522533265,169.62154522533265,169.62154522533265,0.0,0.0
gelu86,gelu86,164.78394574380656,164.78394574380656,164.78394574380656,0.0,0.0
gelu2_k1,K=1,172.18101484352775,172.1814750354111,172.1814750354111,-0.00046019188334867067,-0.00046019188334867067
gelu33,gelu33,170.0202523325311,170.0213725409062,170.02137942604497,-0.0011202083751129521,-0.0011270935138725235
gelu34,gelu34,170.24499523950703,170.24740270923348,170.24740339866264,-0.0024074697264495626,-0.0024081591556068815
gelu28,gelu28,168.18171491347974,168.18925718580127,168.18925650470675,-0.007542272321529708,-0.007541591227010258
gelu74,gelu74,170.36706450005514,170.37637376093843,170.37637652074432,-0.009309260883298975,-0.00931202068917969
gelu80,gelu80,164.4491627810266,164.45860487419858,164.4586055401856,-0.009442093171998067,-0.009442759159014713
gelu88,gelu88,164.86223465252368,164.8725170129098,164.8721699953238,-0.010282360386128175,-0.009935342800105218
gelu83,gelu83,164.4118520715068,164.42218557668502,164.42218491084552,-0.010333505178238056,-0.010332839338730082
gelu84,gelu84,164.78782599850678,164.79998435453166,164.7999955329708,-0.012158356024883687,-0.01216953446402158
gelu79,gelu79,165.22735218357744,165.2397850336821,165.2397805169163,-0.01243285010465911,-0.012428333338874609
gelu204,gelu204,162.82674756668908,162.8411211734362,162.84110073089295,-0.014373606747113854,-0.014353164203868118
gelu95,gelu95,164.85341493993195,164.86935699324053,164.8693576608909,-0.015942053308577897,-0.015942720958946666
gelu77,gelu77,165.93786789720232,165.9543341768917,165.95433484893596,-0.01646627968938219,-0.01646695173363355
gelu66,gelu66,172.34190345520597,172.35936938917015,172.35943709341393,-0.017465933964189162,-0.01753363820796494
gelu71,gelu71,165.07297713271694,165.0929864700682,165.09298580151224,-0.02000933735126864,-0.020008668795298945
gelu82,gelu82,164.26333777460525,164.28415624534898,164.28415890647136,-0.020818470743733997,-0.02082113186611423
gelu85,gelu85,164.6195442484159,164.64121210109428,164.64121610145352,-0.021667852678376676,-0.021671853037616984
gelu205,gelu205,161.09836282259005,161.1277369298677,161.1276979430901,-0.029374107277647,-0.029335120500064704
gelu90,gelu90,164.05923163112655,164.09706254818244,164.0970585610449,-0.03783091705588504,-0.03782692991833869
gelu93,gelu93,164.19025711255227,164.23771990362337,164.2382877273685,-0.047462791071097854,-0.04803061481621285
gelu81,gelu81,163.64361536448362,163.71942107915305,163.74359992270925,-0.07580571466942843,-0.09998455822562846
